Gene stable ID	Chromosome/scaffold name	Gene Synonym	Gene type	Gene name	NCBI gene (formerly Entrezgene) ID
ENSDARG00000018619	2		protein_coding	cers4b	100330155
ENSDARG00000098985	4		processed_transcript	BX649431.2	
ENSDARG00000105815	6		protein_coding	BX649282.2	101883778
ENSDARG00000002219	13		protein_coding	si:dkey-103j14.5	570552
ENSDARG00000073738	8	si:dkeyp-31a2.1	protein_coding	dennd2c	570947
ENSDARG00000073738	8	si:dkeyp-31a2.2	protein_coding	dennd2c	570947
ENSDARG00000073738	8	si:dkeyp-46c9.6	protein_coding	dennd2c	570947
ENSDARG00000000767	7	cb1086	protein_coding	spi1b	30117
ENSDARG00000000767	7	pu.1	protein_coding	spi1b	30117
ENSDARG00000000767	7	pu1	protein_coding	spi1b	30117
ENSDARG00000000767	7	si:by184l24.2	protein_coding	spi1b	30117
ENSDARG00000000767	7	spi1	protein_coding	spi1b	30117
ENSDARG00000109740	4		protein_coding	si:dkeyp-44b5.4	
ENSDARG00000038901	7	zgc:110256	protein_coding	tmem256	550283
ENSDARG00000054574	5	zgc:112524	protein_coding	znhit1	407699
ENSDARG00000040284	16		protein_coding	si:dkey-79d12.5	100538016
ENSDARG00000024229	25	zgc:112080	protein_coding	ubl7a	550462
ENSDARG00000014569	19	hnrpr	protein_coding	hnrnpr	406735
ENSDARG00000014569	19	wu:cegs2571	protein_coding	hnrnpr	406735
ENSDARG00000014569	19	wu:fb97a09	protein_coding	hnrnpr	406735
ENSDARG00000014569	19	wu:fe01h03	protein_coding	hnrnpr	406735
ENSDARG00000014569	19	zgc:56523	protein_coding	hnrnpr	406735
ENSDARG00000073900	8	fam212b	protein_coding	inka2	101886856
ENSDARG00000073900	8	gb:eh544333	protein_coding	inka2	101886856
ENSDARG00000073900	8	inka2	protein_coding	inka2	101886856
ENSDARG00000073900	8	si:dkey-193l3.8	protein_coding	inka2	101886856
ENSDARG00000105244	4		lincRNA	BX649431.3	
ENSDARG00000004633	1	si:dkey-27j5.4	protein_coding	epn3b	571453
ENSDARG00000097911	2		antisense	CU179756.1	
ENSDARG00000079456	19		protein_coding	si:ch211-149a19.3	568118
ENSDARG00000032261	20	mRNA capping enzyme	protein_coding	rngtt	405803
ENSDARG00000032261	20	RNA guanylyltransferase and 5-phosphatase	protein_coding	rngtt	405803
ENSDARG00000032261	20	zgc:76886	protein_coding	rngtt	405803
ENSDARG00000029885	14	wu:fi30c11	protein_coding	rab41	406674
ENSDARG00000029885	14	zgc:63637	protein_coding	rab41	406674
ENSDARG00000043899	15	psma6b	protein_coding	psma6l	83917
ENSDARG00000043899	15	zgc:91778	protein_coding	psma6l	83917
ENSDARG00000077034	2	si:ch73-170l17.1	protein_coding	nmnat3	572070
ENSDARG00000101046	4		protein_coding	si:dkeyp-107f9.1	
ENSDARG00000075532	13	si:dkey-12j14.4	protein_coding	slc4a11	559346
ENSDARG00000017947	8	si:ch211-196c10.10	protein_coding	ptk6a	555232
ENSDARG00000061204	8	fb59a11	protein_coding	ddx20	556273
ENSDARG00000061204	8	si:dkey-193l3.3	protein_coding	ddx20	556273
ENSDARG00000061204	8	si:dkey-193l3.4	protein_coding	ddx20	556273
ENSDARG00000061204	8	wu:fb16g08	protein_coding	ddx20	556273
ENSDARG00000061204	8	wu:fb59a11	protein_coding	ddx20	556273
ENSDARG00000023591	12	fm80e07	protein_coding	nrbf2b	436886
ENSDARG00000023591	12	nrbf2	protein_coding	nrbf2b	436886
ENSDARG00000023591	12	wu:fb26d03	protein_coding	nrbf2b	436886
ENSDARG00000023591	12	wu:fm80e07	protein_coding	nrbf2b	436886
ENSDARG00000023591	12	zgc:92273	protein_coding	nrbf2b	436886
ENSDARG00000057322	8	wu:fb99e01	protein_coding	tmem47	406640
ENSDARG00000057322	8	zgc:63990	protein_coding	tmem47	406640
ENSDARG00000014348	9	zgc:65989	protein_coding	stk17b	393507
ENSDARG00000059073	17	etID102410.17	protein_coding	gsc	30212
ENSDARG00000059073	17	etID5964.17	protein_coding	gsc	30212
ENSDARG00000059073	17	ik:tdsubc_1c10	protein_coding	gsc	30212
ENSDARG00000059073	17	ik:tdsubc_2g4	protein_coding	gsc	30212
ENSDARG00000059073	17	ik:tdsubc_2h11	protein_coding	gsc	30212
ENSDARG00000059073	17	xx:tdsubc_1c10	protein_coding	gsc	30212
ENSDARG00000059073	17	xx:tdsubc_2g4	protein_coding	gsc	30212
ENSDARG00000059073	17	xx:tdsubc_2h11	protein_coding	gsc	30212
ENSDARG00000059073	17	zgc:101595	protein_coding	gsc	30212
ENSDARG00000059073	17	ZGSC	protein_coding	gsc	30212
ENSDARG00000062830	14	fam46d	protein_coding	tent5d	100149701
ENSDARG00000062830	14	si:dkeyp-86f7.6	protein_coding	tent5d	100149701
ENSDARG00000086091	16	si:dkeyp-84f3.3	protein_coding	kcnn4	568363
ENSDARG00000098813	19	zgc:86632	protein_coding	stx12	415141
ENSDARG00000095852	16		lincRNA	CT574585.1	
ENSDARG00000075112	1	si:dkey-162b23.3	protein_coding	tacr3a	555482
ENSDARG00000075112	1	tacr3a1	protein_coding	tacr3a	555482
ENSDARG00000031968	12	zgc:101576	protein_coding	cpped1	492772
ENSDARG00000105505	16		lincRNA	CT574585.2	
ENSDARG00000033956	6	itnpr-like 2	protein_coding	oxtr	100001530
ENSDARG00000033956	6	OTR(1)	protein_coding	oxtr	100001530
ENSDARG00000033956	6	oxtlr2	protein_coding	oxtr	100001530
ENSDARG00000104332	7	si:dkey-173l11.3	protein_coding	cdh28	108179109
ENSDARG00000003210	18	si:ch73-86n2.1	protein_coding	ano2a	
ENSDARG00000040087	10	epb4.1l4	protein_coding	epb41l4a	30470
ENSDARG00000040087	10	epb41l4	protein_coding	epb41l4a	30470
ENSDARG00000040087	10	fc29f06	protein_coding	epb41l4a	30470
ENSDARG00000040087	10	nbl4	protein_coding	epb41l4a	30470
ENSDARG00000040087	10	wu:fc29f06	protein_coding	epb41l4a	30470
ENSDARG00000090153	6	si:dkey-46i24.1	protein_coding	cyldl	561108
ENSDARG00000099145	4		processed_transcript	BX511066.1	
ENSDARG00000070015	4	pcloa	protein_coding	pimr173	
ENSDARG00000070015	4	si:dkey-108d22.5	protein_coding	pimr173	
ENSDARG00000042041	5	zgc:111884	protein_coding	tal2	394239
ENSDARG00000003635	5	mogat3	protein_coding	mogat3b	494083
ENSDARG00000015946	1	cdw92	protein_coding	slc44a1a	100333377
ENSDARG00000015946	1	slc44a1	protein_coding	slc44a1a	100333377
ENSDARG00000015946	1	zgc:112201	protein_coding	slc44a1a	100333377
ENSDARG00000039824	9		protein_coding	zgc:172182	100136847
ENSDARG00000010586	7		protein_coding	tex9	553441
ENSDARG00000095081	10		lincRNA	CU657976.1	
ENSDARG00000105324	16		protein_coding	si:dkey-11o1.7	
ENSDARG00000060785	13	pcnxl4	protein_coding	pcnx4	563650
ENSDARG00000060785	13	zgc:158219	protein_coding	pcnx4	563650
ENSDARG00000036227	19	Dr-farp1	protein_coding	npvf	100002108
ENSDARG00000036227	19	gnih	protein_coding	npvf	100002108
ENSDARG00000036227	19	npvfl	protein_coding	npvf	100002108
ENSDARG00000036227	19	si:dkey-22m8.1	protein_coding	npvf	100002108
ENSDARG00000024141	6	im:6902906	protein_coding	cav3	449679
ENSDARG00000024141	6	zgc:109710	protein_coding	cav3	449679
ENSDARG00000105803	6	zgc:194103	protein_coding	or136-1	556415
ENSDARG00000100112	4	si:ch211-129p6.1	protein_coding	znf1118	
ENSDARG00000097875	14		lincRNA	CR786577.1	
ENSDARG00000008976	20	si:dkeyp-117e10.5	protein_coding	mdn1	555704
ENSDARG00000076406	19	si:ch211-149a19.5	protein_coding	ggcta	100149204
ENSDARG00000036999	8	zmp:0000000593	protein_coding	DISP3	100535855
ENSDARG00000100131	7	si:dkey-173l11.6	protein_coding	cdh29	568392
ENSDARG00000012553	8	rap1a	protein_coding	rap1aa	415242
ENSDARG00000012553	8	Rap1b	protein_coding	rap1aa	415242
ENSDARG00000012553	8	wu:fc66g06	protein_coding	rap1aa	415242
ENSDARG00000012553	8	zgc:86676	protein_coding	rap1aa	415242
ENSDARG00000016311	6	dock9	protein_coding	dock9b	100151488
ENSDARG00000016311	6	stab1	protein_coding	dock9b	100151488
ENSDARG00000073893	16	fa56d08	protein_coding	dnase2	100000399
ENSDARG00000073893	16	fa92d01	protein_coding	dnase2	100000399
ENSDARG00000073893	16	wu:fa56d08	protein_coding	dnase2	100000399
ENSDARG00000073893	16	wu:fa92d01	protein_coding	dnase2	100000399
ENSDARG00000115519	6	si:dkey-11e6.2	protein_coding	pimr6	
ENSDARG00000054804	19	wu:fb22e03	protein_coding	anp32e	406562
ENSDARG00000054804	19	wu:fc04c12	protein_coding	anp32e	406562
ENSDARG00000054804	19	wu:fc19a08	protein_coding	anp32e	406562
ENSDARG00000054804	19	wu:fc79f04	protein_coding	anp32e	406562
ENSDARG00000054804	19	wu:fi39c10	protein_coding	anp32e	406562
ENSDARG00000054804	19	zgc:65995	protein_coding	anp32e	406562
ENSDARG00000054804	19	zgc:85827	protein_coding	anp32e	406562
ENSDARG00000074895	13	wu:fb14b12	protein_coding	tysnd1	561667
ENSDARG00000101447	4		processed_transcript	BX511066.2	
ENSDARG00000009023	16	ankrd28	protein_coding	ankrd28b	560747
ENSDARG00000092060	5	si:dkey-114c15.2	protein_coding	tbx5b	100004161
ENSDARG00000087443	17	si:ch73-305o9.2	protein_coding	ptp4a2a	449541
ENSDARG00000087443	17	wu:fb37f11	protein_coding	ptp4a2a	449541
ENSDARG00000087443	17	zgc:91861	protein_coding	ptp4a2a	449541
ENSDARG00000071216	19		protein_coding	si:ch211-133n4.9	100000061
ENSDARG00000023298	19	wu:fa18f12	protein_coding	rps27.1	554155
ENSDARG00000023298	19	zgc:109888	protein_coding	rps27.1	554155
ENSDARG00000025218	25	im:7152131	protein_coding	myo5ab	565267
ENSDARG00000060991	3	im:7156228	protein_coding	mief1	564985
ENSDARG00000060991	3	smcr7a	protein_coding	mief1	564985
ENSDARG00000060991	3	smcr7l	protein_coding	mief1	564985
ENSDARG00000060991	3	zgc:162279	protein_coding	mief1	564985
ENSDARG00000041702	20	si:dkeyp-93d12.2	protein_coding	rfx6	556925
ENSDARG00000068683	9	chmp2b	protein_coding	chmp2ba	569532
ENSDARG00000068683	9	si:ch211-224m9.5	protein_coding	chmp2ba	569532
ENSDARG00000055426	20	si:dkey-177p2.14	protein_coding	rwdd2b	566444
ENSDARG00000055426	20	zgc:153162	protein_coding	rwdd2b	566444
ENSDARG00000086463	5	wu:fc15b07	protein_coding	klhl13	323951
ENSDARG00000086463	5	zgc:163008	protein_coding	klhl13	323951
ENSDARG00000006174	23	zgc:101782	protein_coding	lrrc23	450033
ENSDARG00000069828	13	zgc:153037	protein_coding	si:ch211-117n7.7	751622
ENSDARG00000030411	24	zgc:92717	protein_coding	crygn2	445034
ENSDARG00000022730	20	si:dkeyp-117h8.3	protein_coding	aasdh	570338
ENSDARG00000095722	23		processed_transcript	CR925709.3	
ENSDARG00000042187	20	fc60g09	protein_coding	smek1	558578
ENSDARG00000042187	20	si:dkey-65b13.2	protein_coding	smek1	558578
ENSDARG00000042187	20	wu:fc60g09	protein_coding	smek1	558578
ENSDARG00000099779	15	im:7136055	protein_coding	si:ch211-11n16.2	563140
ENSDARG00000093760	16	sb:cb975	protein_coding	si:ch211-197h24.9	562659
ENSDARG00000098497	25	hras	protein_coding	hrasa	550286
ENSDARG00000098497	25	sb:eu826	protein_coding	hrasa	550286
ENSDARG00000098497	25	xRAS1	protein_coding	hrasa	550286
ENSDARG00000098497	25	zgc:110250	protein_coding	hrasa	550286
ENSDARG00000092130	23		processed_transcript	CR925709.1	
ENSDARG00000060348	3		protein_coding	map3k3	560211
ENSDARG00000093988	25		processed_transcript	BX323543.3	
ENSDARG00000097786	15		lincRNA	CU467862.1	
ENSDARG00000092137	2		protein_coding	si:dkey-4i23.5	
ENSDARG00000075800	7	zgc:193500	protein_coding	calml4a	560151
ENSDARG00000094339	19	si:ch211-196n4.1	protein_coding	pimr88	100006996
ENSDARG00000100718	5	zgc:100941	protein_coding	me2	445233
ENSDARG00000078853	23	si:dkey-21o19.4	protein_coding	arhgef19	569202
ENSDARG00000104500	23	si:ch73-217b7.5	protein_coding	fyco1a	565649
ENSDARG00000041081	18	suv420h1	protein_coding	kmt5b	572849
ENSDARG00000041081	18	wu:fb97g06	protein_coding	kmt5b	572849
ENSDARG00000041081	18	wu:fi57g03	protein_coding	kmt5b	572849
ENSDARG00000041081	18	zgc:103527	protein_coding	kmt5b	572849
ENSDARG00000100449	7		transcribed_unprocessed_pseudogene	BX322631.1	568436
ENSDARG00000091990	18	A16	protein_coding	olfck2	794572
ENSDARG00000091990	18	Dr4-2	protein_coding	olfck2	794572
ENSDARG00000091990	18	si:ch211-229c8.9	protein_coding	olfck2	794572
ENSDARG00000091990	18	v2ra16	protein_coding	olfck2	794572
ENSDARG00000100116	10	zgc:112331	protein_coding	mrps24	553711
ENSDARG00000079524	13	si:ch211-168h21.3	protein_coding	znfl1g	792757
ENSDARG00000014792	24	si:ch1073-78f13.2	protein_coding	lrrc4bb	100535350
ENSDARG00000102959	21		protein_coding	zgc:171220	100126101
ENSDARG00000014946	13		protein_coding	angpt2a	101101687
ENSDARG00000073978	16	cb432	protein_coding	crabp2a	171480
ENSDARG00000073978	16	cb434	protein_coding	crabp2a	171480
ENSDARG00000073978	16	crabp2	protein_coding	crabp2a	171480
ENSDARG00000073978	16	etID50793.16	protein_coding	crabp2a	171480
ENSDARG00000073978	16	sb:cb434	protein_coding	crabp2a	171480
ENSDARG00000073978	16	wu:fc51a11	protein_coding	crabp2a	171480
ENSDARG00000073978	16	zgc:110496	protein_coding	crabp2a	171480
ENSDARG00000093471	9		lincRNA	CR361551.1	108191306
ENSDARG00000104531	12	zgc:172248	protein_coding	zcchc4	564410
ENSDARG00000070714	11	fi39f12	protein_coding	zgc:173544	793869
ENSDARG00000070714	11	wu:fi39f12	protein_coding	zgc:173544	793869
ENSDARG00000030630	13	mfsd2a	protein_coding	mfsd2aa	492810
ENSDARG00000030630	13	zgc:101615	protein_coding	mfsd2aa	492810
ENSDARG00000041078	18	im:7143625	protein_coding	chka	558499
ENSDARG00000041078	18	si:dkey-12e7.3	protein_coding	chka	558499
ENSDARG00000041078	18	wu:fd46h01	protein_coding	chka	558499
ENSDARG00000069469	13	zgc:153588	protein_coding	khdrbs2	768147
ENSDARG00000099712	12		protein_coding	zgc:163073	100037358
ENSDARG00000035860	2	fb07a10	protein_coding	rps28	406307
ENSDARG00000035860	2	wu:fb07a10	protein_coding	rps28	406307
ENSDARG00000035860	2	wu:fb94f01	protein_coding	rps28	406307
ENSDARG00000035860	2	zgc:73367	protein_coding	rps28	406307
ENSDARG00000046133	13	zgc:112351	protein_coding	b3galnt2	553716
ENSDARG00000027112	23	cb417	protein_coding	ephb4b	30691
ENSDARG00000027112	23	EphB-rtk8	protein_coding	ephb4b	30691
ENSDARG00000027112	23	rtk8	protein_coding	ephb4b	30691
ENSDARG00000027112	23	unp164	protein_coding	ephb4b	30691
ENSDARG00000103245	13		antisense	BX324224.1	
ENSDARG00000013295	19	glut3a	protein_coding	slc2a3a	436916
ENSDARG00000013295	19	slc2a3	protein_coding	slc2a3a	436916
ENSDARG00000013295	19	wu:fb92c06	protein_coding	slc2a3a	436916
ENSDARG00000013295	19	zgc:92476	protein_coding	slc2a3a	436916
ENSDARG00000013295	19	zglut3	protein_coding	slc2a3a	436916
ENSDARG00000040184	20	nsap1	protein_coding	syncrip	326663
ENSDARG00000040184	20	wu:fe02c03	protein_coding	syncrip	326663
ENSDARG00000040184	20	wu:fe47h09	protein_coding	syncrip	326663
ENSDARG00000075837	21		protein_coding	si:dkey-1d7.3	793262
ENSDARG00000052512	1	zgc:152952	protein_coding	tsga10	768146
ENSDARG00000058372	13	zgc:136403	protein_coding	mcph1	678616
ENSDARG00000011257	16	atx	protein_coding	enpp2	100332039
ENSDARG00000011257	16	autotaxin	protein_coding	enpp2	100332039
ENSDARG00000011257	16	zgc:63550	protein_coding	enpp2	100332039
ENSDARG00000103786	5	wu:fc15b07	protein_coding	klhl13	323951
ENSDARG00000103786	5	zgc:163008	protein_coding	klhl13	323951
ENSDARG00000018650	11	zgc:112394	protein_coding	gtpbp3	553807
ENSDARG00000055754	23	sb:eu719	protein_coding	smc1a	559665
ENSDARG00000102171	21	fc45f03	protein_coding	fnip1	324863
ENSDARG00000102171	21	wu:fc45f03	protein_coding	fnip1	324863
ENSDARG00000102171	21	zgc:175140	protein_coding	fnip1	324863
ENSDARG00000097374	25		protein_coding	si:dkey-108k21.7	
ENSDARG00000097608	6		lincRNA	CU929312.1	
ENSDARG00000096110	25		protein_coding	zgc:123278	641569
ENSDARG00000091748	14		protein_coding	tbx22	556143
ENSDARG00000059911	14	id:ibd5048	protein_coding	bbs7	557491
ENSDARG00000059911	14	zgc:153772	protein_coding	bbs7	557491
ENSDARG00000074535	14	sc:d0348	protein_coding	lingo2a	101884914
ENSDARG00000097847	16		protein_coding	si:ch211-269k10.4	100150242
ENSDARG00000105044	3		protein_coding	si:ch211-51i16.3	108182772
ENSDARG00000099306	11		protein_coding	zgc:175088	559776
ENSDARG00000103659	7	bcmo1b	protein_coding	bco1l	393580
ENSDARG00000103659	7	bcmo1l	protein_coding	bco1l	393580
ENSDARG00000103659	7	zgc:63614	protein_coding	bco1l	393580
ENSDARG00000034493	3	NR2A.2	protein_coding	grin2aa	563297
ENSDARG00000034493	3	si:ch211-13c14.1	protein_coding	grin2aa	563297
ENSDARG00000034493	3	zNMDA-2A.2	protein_coding	grin2aa	563297
ENSDARG00000055151	17	im:7146196	protein_coding	smyd2a	541423
ENSDARG00000055151	17	smyd2	protein_coding	smyd2a	541423
ENSDARG00000055151	17	wu:fc02f02	protein_coding	smyd2a	541423
ENSDARG00000055151	17	zgc:110553	protein_coding	smyd2a	541423
ENSDARG00000054124	17	htr1bd	protein_coding	htr1d	556429
ENSDARG00000103398	8		protein_coding	fabp1b.2	100330224
ENSDARG00000096674	12		lincRNA	CR450698.1	
ENSDARG00000111323	3	zmp:0000000736	protein_coding	si:ch211-51i16.1	
ENSDARG00000063319	19	si:ch73-216m24.3	protein_coding	sqleb	565329
ENSDARG00000063319	19	si:dkeyp-84f11.4	protein_coding	sqleb	565329
ENSDARG00000074824	12		protein_coding	si:dkey-49c17.4	
ENSDARG00000034896	1	ldb2l	protein_coding	ldb2b	30578
ENSDARG00000034896	1	ldb3	protein_coding	ldb2b	30578
ENSDARG00000034896	1	wu:fd16f11	protein_coding	ldb2b	30578
ENSDARG00000034896	1	zgc:92548	protein_coding	ldb2b	30578
ENSDARG00000096804	12		protein_coding	si:dkey-219e21.4	101883495
ENSDARG00000079766	16	abcb2	protein_coding	tap1	100333043
ENSDARG00000002235	7	cb386	protein_coding	mmp14a	373882
ENSDARG00000002235	7	MT-MMPalpha	protein_coding	mmp14a	373882
ENSDARG00000002235	7	sb:cb386	protein_coding	mmp14a	373882
ENSDARG00000002235	7	wu:fb72b09	protein_coding	mmp14a	373882
ENSDARG00000002235	7	zMT-MMP-alpha	protein_coding	mmp14a	373882
ENSDARG00000002235	7	zMT-MMPalpha	protein_coding	mmp14a	373882
ENSDARG00000058346	22	cea	protein_coding	sass6	406747
ENSDARG00000058346	22	cellular atoll	protein_coding	sass6	406747
ENSDARG00000058346	22	sas-6	protein_coding	sass6	406747
ENSDARG00000058346	22	wu:fb98c12	protein_coding	sass6	406747
ENSDARG00000058346	22	zgc:55668	protein_coding	sass6	406747
ENSDARG00000092593	5		protein_coding	si:dkey-174k12.3	
ENSDARG00000071426	12	zgc:85752	protein_coding	lrrc59	405868
ENSDARG00000090473	16		protein_coding	si:ch211-269k10.5	108179657
ENSDARG00000102023	11		protein_coding	phf13	100537300
ENSDARG00000044803	11	ik:tdsubc_1f3	protein_coding	dhrs3b	450050
ENSDARG00000044803	11	tdsubc_1f3	protein_coding	dhrs3b	450050
ENSDARG00000044803	11	xx:tdsubc_1f3	protein_coding	dhrs3b	450050
ENSDARG00000044803	11	zgc:101705	protein_coding	dhrs3b	450050
ENSDARG00000029911	3		protein_coding	casc3	403025
ENSDARG00000094861	8		protein_coding	si:dkey-163f12.11	
ENSDARG00000078401	23	larp4a	protein_coding	larp4aa	100332095
ENSDARG00000078401	23	si:ch211-156j22.2	protein_coding	larp4aa	100332095
ENSDARG00000010312	22	cer	protein_coding	cp	84702
ENSDARG00000010312	22	wu:fi23f10	protein_coding	cp	84702
ENSDARG00000105276	6	zgc:103549	protein_coding	grb2a	493609
ENSDARG00000087704	14		protein_coding	gfra3	556647
ENSDARG00000067520	18		protein_coding	zgc:158482	100009650
ENSDARG00000074265	6	zgc:123017	protein_coding	dzip1l	553313
ENSDARG00000096649	1	emrl5	protein_coding	adgre19	
ENSDARG00000096649	1	si:dkey-9c18.9	protein_coding	adgre19	
ENSDARG00000014031	13	zgc:66072	protein_coding	abcc2	393561
ENSDARG00000062328	21	si:ch211-247j24.2	protein_coding	rasgrp2	557063
ENSDARG00000060397	1	fd99f01	protein_coding	hhip	326102
ENSDARG00000060397	1	Hip	protein_coding	hhip	326102
ENSDARG00000060397	1	uki	protein_coding	hhip	326102
ENSDARG00000060397	1	ukkie	protein_coding	hhip	326102
ENSDARG00000060397	1	wu:fc52e12	protein_coding	hhip	326102
ENSDARG00000060397	1	wu:fd99f01	protein_coding	hhip	326102
ENSDARG00000060397	1	zgc:153478	protein_coding	hhip	326102
ENSDARG00000093080	8		protein_coding	si:dkey-163f12.10	
ENSDARG00000095745	22		protein_coding	si:ch73-138e16.3	100006019
ENSDARG00000090086	2	zgc:92772	protein_coding	rab11bb	436828
ENSDARG00000068763	18	si:ch211-260p9.6	protein_coding	plcg2	561747
ENSDARG00000068763	18	tldc1	protein_coding	plcg2	561747
ENSDARG00000068763	18	zgc:153621	protein_coding	plcg2	561747
ENSDARG00000068763	18	fj85b03	protein_coding	plcg2	561747
ENSDARG00000068763	18	sb:eu1064	protein_coding	plcg2	561747
ENSDARG00000068763	18	si:ch211-260p9.2	protein_coding	plcg2	561747
ENSDARG00000068763	18	wu:fj85b03	protein_coding	plcg2	561747
ENSDARG00000068763	18	zgc:152893	protein_coding	plcg2	561747
ENSDARG00000097974	17		lincRNA	CU855685.1	
ENSDARG00000057687	16	zgc:172086	protein_coding	sbk3	100003100
ENSDARG00000017312	21	fk97a10	protein_coding	lmbrd2b	335257
ENSDARG00000017312	21	wu:fk97a10	protein_coding	lmbrd2b	335257
ENSDARG00000017312	21	zgc:73387	protein_coding	lmbrd2b	335257
ENSDARG00000091902	17	wu:fa55h04	protein_coding	b3gnt2b	793362
ENSDARG00000091902	17	wu:fc39c01	protein_coding	b3gnt2b	793362
ENSDARG00000091902	17	zgc:113947	protein_coding	b3gnt2b	793362
ENSDARG00000101205	8	fc39d12	protein_coding	mbd1a	797143
ENSDARG00000101205	8	fc83c09	protein_coding	mbd1a	797143
ENSDARG00000101205	8	wu:fc39d12	protein_coding	mbd1a	797143
ENSDARG00000101205	8	wu:fc83c09	protein_coding	mbd1a	797143
ENSDARG00000097592	11		protein_coding	si:dkey-40c23.1	100537876
ENSDARG00000073915	4	zgc:174654	protein_coding	znf1085	
ENSDARG00000076241	17	zgc:162968	protein_coding	txlnbb	564166
ENSDARG00000062195	25	si:ch211-147k9.7	protein_coding	fbxo31	555190
ENSDARG00000016837	16	wu:fj53e10	protein_coding	glipr2l	449805
ENSDARG00000016837	16	zgc:103578	protein_coding	glipr2l	449805
ENSDARG00000092311	5		protein_coding	si:dkey-65b12.10	
ENSDARG00000071425	12	fe47d07	protein_coding	nat9	326898
ENSDARG00000071425	12	wu:fe47d07	protein_coding	nat9	326898
ENSDARG00000104708	17	si:ch1073-416d2.2	protein_coding	ddx24	553462
ENSDARG00000016439	10	si:ch211-69k21.2	protein_coding	slc7a1a	559627
ENSDARG00000016439	10	slc7a1	protein_coding	slc7a1a	559627
ENSDARG00000043548	1	im:7140072	protein_coding	atg4da	795933
ENSDARG00000043548	1	si:ch211-212h16.5	protein_coding	atg4da	795933
ENSDARG00000078891	7	gb:dn856615	protein_coding	map11	100003958
ENSDARG00000078891	7	si:dkey-3k24.5	protein_coding	map11	100003958
ENSDARG00000074863	21		protein_coding	TMEM132C	101885407
ENSDARG00000043283	8	zgc:103657	protein_coding	prrg1	449775
ENSDARG00000102696	11		protein_coding	dnajc11b	100329402
ENSDARG00000095293	4		protein_coding	si:dkey-265e7.1	
ENSDARG00000030236	17	tmem30a	protein_coding	tmem30aa	337397
ENSDARG00000030236	17	wu:fj66b08	protein_coding	tmem30aa	337397
ENSDARG00000030236	17	zgc:91877	protein_coding	tmem30aa	337397
ENSDARG00000071583	24	gtf3a	protein_coding	gtf3ab	100037394
ENSDARG00000071583	24	ns:zf-a141	protein_coding	gtf3ab	100037394
ENSDARG00000071583	24	zgc:162349	protein_coding	gtf3ab	100037394
ENSDARG00000057101	21	zgc:66368	protein_coding	rnf180	793295
ENSDARG00000098647	7	zgc:162892	protein_coding	ankdd1a	569271
ENSDARG00000076703	13	anubl1	protein_coding	zfand4	100148477
ENSDARG00000076703	13	si:dkey-194n13.3	protein_coding	zfand4	100148477
ENSDARG00000039880	25	zgc:56183	protein_coding	arpp19b	393947
ENSDARG00000101867	17		protein_coding	si:ch1073-416d2.4	100334672
ENSDARG00000003531	2	fj48e12	protein_coding	tcea1	336105
ENSDARG00000003531	2	wu:fj48e12	protein_coding	tcea1	336105
ENSDARG00000003531	2	zgc:63975	protein_coding	tcea1	336105
ENSDARG00000045863	4	si:dkey-3n7.3	protein_coding	asb15b	568579
ENSDARG00000100825	15	calm2g	protein_coding	calm3a	327379
ENSDARG00000100825	15	CaM3 Gamma	protein_coding	calm3a	327379
ENSDARG00000100825	15	CaMgamma	protein_coding	calm3a	327379
ENSDARG00000100825	15	wu:fi05b08	protein_coding	calm3a	327379
ENSDARG00000100825	15	zgc:86728	protein_coding	calm3a	327379
ENSDARG00000010002	22	G11-2	protein_coding	gna11a	563953
ENSDARG00000010002	22	Galpha 11b	protein_coding	gna11a	563953
ENSDARG00000010002	22	gna11	protein_coding	gna11a	563953
ENSDARG00000010002	22	si:dkey-42p8.2	protein_coding	gna11a	563953
ENSDARG00000058562	22	si:dkey-253d23.7	protein_coding	znf991	
ENSDARG00000097918	24		antisense	AL954666.1	
ENSDARG00000105435	11		protein_coding	camta1	101883062
ENSDARG00000096095	2	wu:fi43g04	protein_coding	buc	334375
ENSDARG00000074611	24	fj52e09	protein_coding	wdr37	558075
ENSDARG00000074611	24	im:7144367	protein_coding	wdr37	558075
ENSDARG00000074611	24	wu:fj52e09	protein_coding	wdr37	558075
ENSDARG00000092600	1		protein_coding	si:dkey-256e7.5	
ENSDARG00000002682	15	zgc:73220	protein_coding	tbcela	393726
ENSDARG00000054789	16	zgc:153301	protein_coding	lysmd1	791996
ENSDARG00000061222	6		protein_coding	uba7	100001302
ENSDARG00000036670	10	agtrl1b	protein_coding	aplnrb	565492
ENSDARG00000036670	10	grn	protein_coding	aplnrb	565492
ENSDARG00000036670	10	zgc:114063	protein_coding	aplnrb	565492
ENSDARG00000004307	9	zgc:101899	protein_coding	lypd6	447932
ENSDARG00000038655	8	si:dkey-11c8.1	protein_coding	ajap1	101887016
ENSDARG00000004296	10	ambpl	protein_coding	ambp	394093
ENSDARG00000004296	10	zgc:66321	protein_coding	ambp	394093
ENSDARG00000091746	4		protein_coding	si:dkey-16p6.1	
ENSDARG00000038859	2	zgc:92650	protein_coding	rgs20	436704
ENSDARG00000032553	17	Hif-p4h-3	protein_coding	egln3	406602
ENSDARG00000032553	17	phd3	protein_coding	egln3	406602
