Gene stable ID	Gene name	Chromosome/scaffold name	Gene Synonym	Gene type	NCBI gene (formerly Entrezgene) ID
FBgn0003016	osp	2L	osp	protein_coding	34850
FBgn0028911	tRNA:Pro-AGG-1-3	2L	tRNA:Pro-AGG-1-3	tRNA	3771997
FBgn0028911	tRNA:Pro-AGG-1-3	2L	tRNA:Pro-AGG-1-3	tRNA	3771997
FBgn0028911	tRNA:Pro-AGG-1-3	2L	tRNA:Pro-AGG-1-3	tRNA	3771997
FBgn0028910	tRNA:Pro-AGG-1-4	2L	tRNA:Pro-AGG-1-4	tRNA	3772320
FBgn0028910	tRNA:Pro-AGG-1-4	2L	tRNA:Pro-AGG-1-4	tRNA	3772320
FBgn0028910	tRNA:Pro-AGG-1-4	2L	tRNA:Pro-AGG-1-4	tRNA	3772320
FBgn0263330	lncRNA:CR43411	2L	lncRNA:CR43411	ncRNA	12798216
FBgn0263330	lncRNA:CR43411	2L	lncRNA:CR43411	ncRNA	12798216
FBgn0263330	lncRNA:CR43411	2L	lncRNA:CR43411	ncRNA	12798216
FBgn0000055	Adh	2L	Adh	protein_coding	3771877
FBgn0000055	Adh	2L	Adh	protein_coding	3771877
FBgn0000055	Adh	2L	Adh	protein_coding	3771877
FBgn0000056	Adhr	2L	Adhr	protein_coding	3772432
FBgn0000056	Adhr	2L	Adhr	protein_coding	3772432
FBgn0000056	Adhr	2L	Adhr	protein_coding	3772432
FBgn0028855	CG15282	2L	CG15282	protein_coding	34853
FBgn0028855	CG15282	2L	CG15282	protein_coding	34853
FBgn0028855	CG15282	2L	CG15282	protein_coding	34853
FBgn0085194	CG34165	2L	CG34165	protein_coding	5740685
FBgn0085194	CG34165	2L	CG34165	protein_coding	5740685
FBgn0085194	CG34165	2L	CG34165	protein_coding	5740685
FBgn0261571	CG42685	2L	CG42685	protein_coding	34854
FBgn0261571	CG42685	2L	CG42685	protein_coding	34854
FBgn0261571	CG42685	2L	CG42685	protein_coding	34854
FBgn0266151	lncRNA:CR44857	2L	lncRNA:CR44857	ncRNA	19834899
FBgn0266151	lncRNA:CR44857	2L	lncRNA:CR44857	ncRNA	19834899
FBgn0266151	lncRNA:CR44857	2L	lncRNA:CR44857	ncRNA	19834899
FBgn0051835	CG31835	2L	CG31835	protein_coding	318972
FBgn0051835	CG31835	2L	CG31835	protein_coding	318972
FBgn0051835	CG31835	2L	CG31835	protein_coding	318972
FBgn0051835	CG31835	2L	CG31835	protein_coding	8674069
FBgn0051835	CG31835	2L	CG31835	protein_coding	8674069
FBgn0051835	CG31835	2L	CG31835	protein_coding	8674069
FBgn0028537	CG31775	2L	CG31775	protein_coding	318935
FBgn0028537	CG31775	2L	CG31775	protein_coding	318935
FBgn0028537	CG31775	2L	CG31775	protein_coding	318935
FBgn0028537	CG31775	2L	CG31775	protein_coding	8673977
FBgn0028537	CG31775	2L	CG31775	protein_coding	8673977
FBgn0028537	CG31775	2L	CG31775	protein_coding	8673977
FBgn0260953	CG42585	2L	CG42585	protein_coding	8674069
FBgn0260953	CG42585	2L	CG42585	protein_coding	8674069
FBgn0260953	CG42585	2L	CG42585	protein_coding	8674069
FBgn0260953	CG42585	2L	CG42585	protein_coding	318972
FBgn0260953	CG42585	2L	CG42585	protein_coding	318972
FBgn0260953	CG42585	2L	CG42585	protein_coding	318972
FBgn0260954	CG42586	2L	CG42586	protein_coding	8673977
FBgn0260954	CG42586	2L	CG42586	protein_coding	8673977
FBgn0260954	CG42586	2L	CG42586	protein_coding	8673977
FBgn0260954	CG42586	2L	CG42586	protein_coding	318935
FBgn0260954	CG42586	2L	CG42586	protein_coding	318935
FBgn0260954	CG42586	2L	CG42586	protein_coding	318935
FBgn0085195	CG34166	2L	CG34166	protein_coding	5740596
FBgn0085195	CG34166	2L	CG34166	protein_coding	5740596
FBgn0085195	CG34166	2L	CG34166	protein_coding	5740596
FBgn0261567	CG42681	2L	CG42681	protein_coding	10178949
FBgn0261567	CG42681	2L	CG42681	protein_coding	10178949
FBgn0261567	CG42681	2L	CG42681	protein_coding	10178949
FBgn0260955	CG42587	2L	CG42587	protein_coding	8674060
FBgn0260955	CG42587	2L	CG42587	protein_coding	8674060
FBgn0260955	CG42587	2L	CG42587	protein_coding	8674060
FBgn0286892	lncRNA:CR46411	2L	lncRNA:CR46411	ncRNA	
FBgn0286892	lncRNA:CR46411	2L	lncRNA:CR46411	ncRNA	
FBgn0286892	lncRNA:CR46411	2L	lncRNA:CR46411	ncRNA	
FBgn0267014	CR45458	2L	CR45458	pseudogene	
FBgn0267014	CR45458	2L	CR45458	pseudogene	
FBgn0267014	CR45458	2L	CR45458	pseudogene	
FBgn0028870	CG4691	2L	CG4691	protein_coding	34856
FBgn0028870	CG4691	2L	CG4691	protein_coding	34856
FBgn0028870	CG4691	2L	CG4691	protein_coding	34856
FBgn0266152	lncRNA:CR44858	2L	lncRNA:CR44858	ncRNA	19835187
FBgn0266152	lncRNA:CR44858	2L	lncRNA:CR44858	ncRNA	19835187
FBgn0266152	lncRNA:CR44858	2L	lncRNA:CR44858	ncRNA	19835187
FBgn0028838	CSN1a	2L	CSN1a	protein_coding	34857
FBgn0028838	CSN1a	2L	CSN1a	protein_coding	34857
FBgn0028838	CSN1a	2L	CSN1a	protein_coding	34857
FBgn0028868	CG4701	2L	CG4701	protein_coding	34858
FBgn0028868	CG4701	2L	CG4701	protein_coding	34858
FBgn0028868	CG4701	2L	CG4701	protein_coding	34858
FBgn0032549	CG4650	2L	CG4650	protein_coding	34859
FBgn0032549	CG4650	2L	CG4650	protein_coding	34859
FBgn0032549	CG4650	2L	CG4650	protein_coding	34859
FBgn0028867	CR15280	2L	CR15280	pseudogene	
FBgn0028867	CR15280	2L	CR15280	pseudogene	
FBgn0028867	CR15280	2L	CR15280	pseudogene	
FBgn0032551	CG18636	2L	CG18636	protein_coding	2768923
FBgn0032551	CG18636	2L	CG18636	protein_coding	2768923
FBgn0032551	CG18636	2L	CG18636	protein_coding	2768923
FBgn0028866	CG18420	2L	CG18420	protein_coding	2768924
FBgn0028866	CG18420	2L	CG18420	protein_coding	2768924
FBgn0028866	CG18420	2L	CG18420	protein_coding	2768924
FBgn0250834	CG33308	2L	CG33308	protein_coding	2768925
FBgn0250834	CG33308	2L	CG33308	protein_coding	2768925
FBgn0250834	CG33308	2L	CG33308	protein_coding	2768925
FBgn0053309	CG33309	2L	CG33309	protein_coding	2768926
FBgn0053309	CG33309	2L	CG33309	protein_coding	2768926
FBgn0053309	CG33309	2L	CG33309	protein_coding	2768926
FBgn0264349	lncRNA:CR43805	2L	lncRNA:CR43805	ncRNA	14462766
FBgn0264349	lncRNA:CR43805	2L	lncRNA:CR43805	ncRNA	14462766
FBgn0264349	lncRNA:CR43805	2L	lncRNA:CR43805	ncRNA	14462766
FBgn0261568	CG42682	2L	CG42682	protein_coding	10178926
FBgn0261568	CG42682	2L	CG42682	protein_coding	10178926
FBgn0261568	CG42682	2L	CG42682	protein_coding	10178926
FBgn0028886	CG15279	2L	CG15279	protein_coding	34863
FBgn0028886	CG15279	2L	CG15279	protein_coding	34863
FBgn0028886	CG15279	2L	CG15279	protein_coding	34863
FBgn0032553	CG4480	2L	CG4480	protein_coding	34864
FBgn0032553	CG4480	2L	CG4480	protein_coding	34864
FBgn0032553	CG4480	2L	CG4480	protein_coding	34864
FBgn0032554	CG15278	2L	CG15278	protein_coding	34865
FBgn0032554	CG15278	2L	CG15278	protein_coding	34865
FBgn0032554	CG15278	2L	CG15278	protein_coding	34865
FBgn0267291	lncRNA:CR45727	2L	lncRNA:CR45727	ncRNA	19834957
FBgn0267291	lncRNA:CR45727	2L	lncRNA:CR45727	ncRNA	19834957
FBgn0267291	lncRNA:CR45727	2L	lncRNA:CR45727	ncRNA	19834957
FBgn0013300	ProtA	2L	ProtA	protein_coding	34866
FBgn0013300	ProtA	2L	ProtA	protein_coding	34866
FBgn0013300	ProtA	2L	ProtA	protein_coding	34866
FBgn0013301	ProtB	2L	ProtB	protein_coding	34867
FBgn0013301	ProtB	2L	ProtB	protein_coding	34867
FBgn0013301	ProtB	2L	ProtB	protein_coding	34867
FBgn0266840	lncRNA:CR45302	2L	lncRNA:CR45302	ncRNA	19834977
FBgn0266840	lncRNA:CR45302	2L	lncRNA:CR45302	ncRNA	19834977
FBgn0266840	lncRNA:CR45302	2L	lncRNA:CR45302	ncRNA	19834977
FBgn0259213	side-II	2L	side-II	protein_coding	3346206
FBgn0259213	side-II	2L	side-II	protein_coding	3346206
FBgn0259213	side-II	2L	side-II	protein_coding	3346206
FBgn0028887	CG3491	2L	CG3491	protein_coding	34870
FBgn0028887	CG3491	2L	CG3491	protein_coding	34870
FBgn0028887	CG3491	2L	CG3491	protein_coding	34870
FBgn0266870	lncRNA:CR45331	2L	lncRNA:CR45331	ncRNA	19835096
FBgn0266870	lncRNA:CR45331	2L	lncRNA:CR45331	ncRNA	19835096
FBgn0266870	lncRNA:CR45331	2L	lncRNA:CR45331	ncRNA	19835096
FBgn0086711	mol	2L	mol	protein_coding	34872
FBgn0086711	mol	2L	mol	protein_coding	34872
FBgn0086711	mol	2L	mol	protein_coding	34872
FBgn0040228	DCTN5-p25	2L	DCTN5-p25	protein_coding	34873
FBgn0040228	DCTN5-p25	2L	DCTN5-p25	protein_coding	34873
FBgn0040228	DCTN5-p25	2L	DCTN5-p25	protein_coding	34873
FBgn0261881	l(2)35Be	2L	l(2)35Be	protein_coding	34874
FBgn0261881	l(2)35Be	2L	l(2)35Be	protein_coding	34874
FBgn0261881	l(2)35Be	2L	l(2)35Be	protein_coding	34874
FBgn0028926	NC2beta	2L	NC2beta	protein_coding	34875
FBgn0028926	NC2beta	2L	NC2beta	protein_coding	34875
FBgn0028926	NC2beta	2L	NC2beta	protein_coding	34875
FBgn0283659	THG	2L	THG	protein_coding	34876
FBgn0283659	THG	2L	THG	protein_coding	34876
FBgn0283659	THG	2L	THG	protein_coding	34876
FBgn0286027	Rnmt	2L	Rnmt	protein_coding	34877
FBgn0286027	Rnmt	2L	Rnmt	protein_coding	34877
FBgn0286027	Rnmt	2L	Rnmt	protein_coding	34877
FBgn0264438	lncRNA:CR43856	2L	lncRNA:CR43856	ncRNA	14462767
FBgn0264438	lncRNA:CR43856	2L	lncRNA:CR43856	ncRNA	14462767
FBgn0264438	lncRNA:CR43856	2L	lncRNA:CR43856	ncRNA	14462767
FBgn0260446	GABA-B-R1	2L	GABA-B-R1	protein_coding	34878
FBgn0260446	GABA-B-R1	2L	GABA-B-R1	protein_coding	34878
FBgn0260446	GABA-B-R1	2L	GABA-B-R1	protein_coding	34878
FBgn0053310	CG33310	2L	CG33310	protein_coding	2768910
FBgn0053310	CG33310	2L	CG33310	protein_coding	2768910
FBgn0053310	CG33310	2L	CG33310	protein_coding	2768910
FBgn0051832	CG31832	2L	CG31832	protein_coding	318970
FBgn0051832	CG31832	2L	CG31832	protein_coding	318970
FBgn0051832	CG31832	2L	CG31832	protein_coding	318970
FBgn0041713	yellow-c	2L	yellow-c	protein_coding	34879
FBgn0041713	yellow-c	2L	yellow-c	protein_coding	34879
FBgn0041713	yellow-c	2L	yellow-c	protein_coding	34879
FBgn0001977	CIAPIN1	2L	CIAPIN1	protein_coding	49424
FBgn0001977	CIAPIN1	2L	CIAPIN1	protein_coding	49424
FBgn0001977	CIAPIN1	2L	CIAPIN1	protein_coding	49424
FBgn0004837	Su(H)	2L	Su(H)	protein_coding	34881
FBgn0004837	Su(H)	2L	Su(H)	protein_coding	34881
FBgn0004837	Su(H)	2L	Su(H)	protein_coding	34881
FBgn0000317	ck	2L	ck	protein_coding	34882
FBgn0000317	ck	2L	ck	protein_coding	34882
FBgn0000317	ck	2L	ck	protein_coding	34882
FBgn0053679	CG33679	2L	CG33679	protein_coding	3772494
FBgn0053679	CG33679	2L	CG33679	protein_coding	3772494
FBgn0053679	CG33679	2L	CG33679	protein_coding	3772494
FBgn0010422	TfIIS	2L	TfIIS	protein_coding	34883
FBgn0010422	TfIIS	2L	TfIIS	protein_coding	34883
FBgn0010422	TfIIS	2L	TfIIS	protein_coding	34883
FBgn0283440	solo	2L	solo	protein_coding	26067079
FBgn0283440	solo	2L	solo	protein_coding	26067079
FBgn0283440	solo	2L	solo	protein_coding	26067079
FBgn0283442	vas	2L	vas	protein_coding	26067080
FBgn0283442	vas	2L	vas	protein_coding	26067080
FBgn0283442	vas	2L	vas	protein_coding	26067080
FBgn0024183	vig	2L	vig	protein_coding	34885
FBgn0024183	vig	2L	vig	protein_coding	34885
FBgn0024183	vig	2L	vig	protein_coding	34885
FBgn0028879	CG15270	2L	CG15270	protein_coding	34886
FBgn0028879	CG15270	2L	CG15270	protein_coding	34886
FBgn0028879	CG15270	2L	CG15270	protein_coding	34886
FBgn0028878	CG15269	2L	CG15269	protein_coding	34887
FBgn0028878	CG15269	2L	CG15269	protein_coding	34887
FBgn0028878	CG15269	2L	CG15269	protein_coding	34887
FBgn0001978	stc	2L	stc	protein_coding	34888
FBgn0001978	stc	2L	stc	protein_coding	34888
FBgn0001978	stc	2L	stc	protein_coding	34888
FBgn0264435	lncRNA:CR43853	2L	lncRNA:CR43853	ncRNA	14462768
FBgn0264435	lncRNA:CR43853	2L	lncRNA:CR43853	ncRNA	14462768
FBgn0264435	lncRNA:CR43853	2L	lncRNA:CR43853	ncRNA	14462768
FBgn0265917	CR44706	2L	CR44706	pseudogene	
FBgn0265917	CR44706	2L	CR44706	pseudogene	
FBgn0265917	CR44706	2L	CR44706	pseudogene	
FBgn0264436	lncRNA:CR43854	2L	lncRNA:CR43854	ncRNA	14462769
FBgn0264436	lncRNA:CR43854	2L	lncRNA:CR43854	ncRNA	14462769
FBgn0264436	lncRNA:CR43854	2L	lncRNA:CR43854	ncRNA	14462769
FBgn0028889	tRNA:Leu-TAA-3-1	2L	tRNA:Leu-TAA-3-1	tRNA	3771999
FBgn0028889	tRNA:Leu-TAA-3-1	2L	tRNA:Leu-TAA-3-1	tRNA	3771999
FBgn0028889	tRNA:Leu-TAA-3-1	2L	tRNA:Leu-TAA-3-1	tRNA	3771999
FBgn0265996	lncRNA:CR44771	2L	lncRNA:CR44771	ncRNA	19835115
FBgn0265996	lncRNA:CR44771	2L	lncRNA:CR44771	ncRNA	19835115
FBgn0265996	lncRNA:CR44771	2L	lncRNA:CR44771	ncRNA	19835115
FBgn0265995	lncRNA:CR44770	2L	lncRNA:CR44770	ncRNA	19835760
FBgn0265995	lncRNA:CR44770	2L	lncRNA:CR44770	ncRNA	19835760
FBgn0265995	lncRNA:CR44770	2L	lncRNA:CR44770	ncRNA	19835760
FBgn0028888	CG4168	2L	CG4168	protein_coding	34889
FBgn0028888	CG4168	2L	CG4168	protein_coding	34889
FBgn0028888	CG4168	2L	CG4168	protein_coding	34889
FBgn0259965	Sfp35C	2L	Sfp35C	protein_coding	8674064
FBgn0259965	Sfp35C	2L	Sfp35C	protein_coding	8674064
FBgn0259965	Sfp35C	2L	Sfp35C	protein_coding	8674064
FBgn0263089	lncRNA:CR43357	2L	lncRNA:CR43357	ncRNA	12798222
FBgn0263089	lncRNA:CR43357	2L	lncRNA:CR43357	ncRNA	12798222
FBgn0263089	lncRNA:CR43357	2L	lncRNA:CR43357	ncRNA	12798222
FBgn0265085	lncRNA:CR44196	2L	lncRNA:CR44196	ncRNA	14462770
FBgn0265085	lncRNA:CR44196	2L	lncRNA:CR44196	ncRNA	14462770
FBgn0265085	lncRNA:CR44196	2L	lncRNA:CR44196	ncRNA	14462770
FBgn0262875	CG43230	2L	CG43230	protein_coding	12798223
FBgn0262875	CG43230	2L	CG43230	protein_coding	12798223
FBgn0262875	CG43230	2L	CG43230	protein_coding	12798223
FBgn0028516	ZnT35C	2L	ZnT35C	protein_coding	34890
FBgn0028516	ZnT35C	2L	ZnT35C	protein_coding	34890
FBgn0028516	ZnT35C	2L	ZnT35C	protein_coding	34890
FBgn0028862	dao	2L	dao	protein_coding	34891
FBgn0028862	dao	2L	dao	protein_coding	34891
FBgn0028862	dao	2L	dao	protein_coding	34891
FBgn0283467	Pol32	2L	Pol32	protein_coding	34892
FBgn0283467	Pol32	2L	Pol32	protein_coding	34892
FBgn0283467	Pol32	2L	Pol32	protein_coding	34892
FBgn0259982	Uxt	2L	Uxt	protein_coding	34893
FBgn0259982	Uxt	2L	Uxt	protein_coding	34893
FBgn0259982	Uxt	2L	Uxt	protein_coding	34893
FBgn0045842	yuri	2L	yuri	protein_coding	34894
FBgn0045842	yuri	2L	yuri	protein_coding	34894
FBgn0045842	yuri	2L	yuri	protein_coding	34894
FBgn0261268	Cul3	2L	Cul3	protein_coding	34896
FBgn0261268	Cul3	2L	Cul3	protein_coding	34896
FBgn0261268	Cul3	2L	Cul3	protein_coding	34896
FBgn0086691	UK114	2L	UK114	protein_coding	34897
FBgn0086691	UK114	2L	UK114	protein_coding	34897
FBgn0086691	UK114	2L	UK114	protein_coding	34897
FBgn0263765	lncRNA:CR43682	2L	lncRNA:CR43682	ncRNA	14462771
FBgn0263765	lncRNA:CR43682	2L	lncRNA:CR43682	ncRNA	14462771
FBgn0263765	lncRNA:CR43682	2L	lncRNA:CR43682	ncRNA	14462771
FBgn0266888	lncRNA:CR45349	2L	lncRNA:CR45349	ncRNA	19835503
FBgn0266888	lncRNA:CR45349	2L	lncRNA:CR45349	ncRNA	19835503
FBgn0266888	lncRNA:CR45349	2L	lncRNA:CR45349	ncRNA	19835503
FBgn0028853	CG15263	2L	CG15263	protein_coding	34898
FBgn0028853	CG15263	2L	CG15263	protein_coding	34898
FBgn0028853	CG15263	2L	CG15263	protein_coding	34898
FBgn0028850	CG15260	2L	CG15260	protein_coding	34899
FBgn0028850	CG15260	2L	CG15260	protein_coding	34899
FBgn0028850	CG15260	2L	CG15260	protein_coding	34899
FBgn0011239	ms(2)35Ci	2L	ms(2)35Ci	protein_coding	49529
FBgn0011239	ms(2)35Ci	2L	ms(2)35Ci	protein_coding	49529
FBgn0011239	ms(2)35Ci	2L	ms(2)35Ci	protein_coding	49529
FBgn0264264	lncRNA:CR43764	2L	lncRNA:CR43764	ncRNA	14462772
FBgn0264264	lncRNA:CR43764	2L	lncRNA:CR43764	ncRNA	14462772
FBgn0264264	lncRNA:CR43764	2L	lncRNA:CR43764	ncRNA	14462772
FBgn0028852	CG15262	2L	CG15262	protein_coding	34901
FBgn0028852	CG15262	2L	CG15262	protein_coding	34901
FBgn0028852	CG15262	2L	CG15262	protein_coding	34901
FBgn0041103	nht	2L	nht	protein_coding	34902
FBgn0041103	nht	2L	nht	protein_coding	34902
FBgn0041103	nht	2L	nht	protein_coding	34902
FBgn0001981	esg	2L	esg	protein_coding	34903
FBgn0001981	esg	2L	esg	protein_coding	34903
FBgn0001981	esg	2L	esg	protein_coding	34903
FBgn0032563	CG15258	2L	CG15258	protein_coding	34904
FBgn0032563	CG15258	2L	CG15258	protein_coding	34904
FBgn0032563	CG15258	2L	CG15258	protein_coding	34904
FBgn0266153	lncRNA:CR44859	2L	lncRNA:CR44859	ncRNA	19835688
FBgn0266153	lncRNA:CR44859	2L	lncRNA:CR44859	ncRNA	19835688
FBgn0266153	lncRNA:CR44859	2L	lncRNA:CR44859	ncRNA	19835688
FBgn0266913	lncRNA:CR45373	2L	lncRNA:CR45373	ncRNA	19834801
FBgn0266913	lncRNA:CR45373	2L	lncRNA:CR45373	ncRNA	19834801
FBgn0266913	lncRNA:CR45373	2L	lncRNA:CR45373	ncRNA	19834801
FBgn0286889	lncRNA:CR46408	2L	lncRNA:CR46408	ncRNA	
FBgn0286889	lncRNA:CR46408	2L	lncRNA:CR46408	ncRNA	
FBgn0286889	lncRNA:CR46408	2L	lncRNA:CR46408	ncRNA	
FBgn0266154	lncRNA:CR44860	2L	lncRNA:CR44860	ncRNA	19835339
FBgn0266154	lncRNA:CR44860	2L	lncRNA:CR44860	ncRNA	19835339
FBgn0266154	lncRNA:CR44860	2L	lncRNA:CR44860	ncRNA	19835339
FBgn0266914	lncRNA:CR45374	2L	lncRNA:CR45374	ncRNA	19835999
FBgn0266914	lncRNA:CR45374	2L	lncRNA:CR45374	ncRNA	19835999
FBgn0266914	lncRNA:CR45374	2L	lncRNA:CR45374	ncRNA	19835999
FBgn0266163	CG44869	2L	CG44869	protein_coding	19834832
FBgn0266163	CG44869	2L	CG44869	protein_coding	19834832
FBgn0266163	CG44869	2L	CG44869	protein_coding	19834832
FBgn0001983	wor	2L	wor	protein_coding	34906
FBgn0001983	wor	2L	wor	protein_coding	34906
FBgn0001983	wor	2L	wor	protein_coding	34906
FBgn0028892	CG4161	2L	CG4161	protein_coding	34907
FBgn0028892	CG4161	2L	CG4161	protein_coding	34907
FBgn0028892	CG4161	2L	CG4161	protein_coding	34907
FBgn0266155	lncRNA:CR44861	2L	lncRNA:CR44861	ncRNA	19834945
FBgn0266155	lncRNA:CR44861	2L	lncRNA:CR44861	ncRNA	19834945
FBgn0266155	lncRNA:CR44861	2L	lncRNA:CR44861	ncRNA	19834945
FBgn0266156	lncRNA:CR44862	2L	lncRNA:CR44862	ncRNA	19835570
FBgn0266156	lncRNA:CR44862	2L	lncRNA:CR44862	ncRNA	19835570
FBgn0266156	lncRNA:CR44862	2L	lncRNA:CR44862	ncRNA	19835570
FBgn0266157	lncRNA:CR44863	2L	lncRNA:CR44863	ncRNA	19835925
FBgn0266157	lncRNA:CR44863	2L	lncRNA:CR44863	ncRNA	19835925
FBgn0266157	lncRNA:CR44863	2L	lncRNA:CR44863	ncRNA	19835925
FBgn0266893	lncRNA:CR45353	2L	lncRNA:CR45353	ncRNA	19835036
FBgn0266893	lncRNA:CR45353	2L	lncRNA:CR45353	ncRNA	19835036
FBgn0266893	lncRNA:CR45353	2L	lncRNA:CR45353	ncRNA	19835036
FBgn0003448	sna	2L	sna	protein_coding	34908
FBgn0003448	sna	2L	sna	protein_coding	34908
FBgn0003448	sna	2L	sna	protein_coding	34908
FBgn0020371	Tim17b2	2L	Tim17b2	protein_coding	44381
FBgn0020371	Tim17b2	2L	Tim17b2	protein_coding	44381
FBgn0020371	Tim17b2	2L	Tim17b2	protein_coding	44381
FBgn0266831	lncRNA:CR45293	2L	lncRNA:CR45293	ncRNA	19835054
FBgn0266831	lncRNA:CR45293	2L	lncRNA:CR45293	ncRNA	19835054
FBgn0266831	lncRNA:CR45293	2L	lncRNA:CR45293	ncRNA	19835054
FBgn0002524	lace	2L	lace	protein_coding	34910
FBgn0002524	lace	2L	lace	protein_coding	34910
FBgn0002524	lace	2L	lace	protein_coding	34910
FBgn0266158	lncRNA:CR44864	2L	lncRNA:CR44864	ncRNA	19836063
FBgn0266158	lncRNA:CR44864	2L	lncRNA:CR44864	ncRNA	19836063
FBgn0266158	lncRNA:CR44864	2L	lncRNA:CR44864	ncRNA	19836063
FBgn0264261	lncRNA:CR43761	2L	lncRNA:CR43761	ncRNA	14462773
FBgn0264261	lncRNA:CR43761	2L	lncRNA:CR43761	ncRNA	14462773
FBgn0264261	lncRNA:CR43761	2L	lncRNA:CR43761	ncRNA	14462773
FBgn0259922	Skadu	2L	Skadu	protein_coding	8673966
FBgn0259922	Skadu	2L	Skadu	protein_coding	8673966
FBgn0259922	Skadu	2L	Skadu	protein_coding	8673966
FBgn0267292	lncRNA:CR45728	2L	lncRNA:CR45728	ncRNA	19836189
FBgn0267292	lncRNA:CR45728	2L	lncRNA:CR45728	ncRNA	19836189
FBgn0267292	lncRNA:CR45728	2L	lncRNA:CR45728	ncRNA	19836189
FBgn0028880	CG15256	2L	CG15256	protein_coding	34911
FBgn0028880	CG15256	2L	CG15256	protein_coding	34911
FBgn0028880	CG15256	2L	CG15256	protein_coding	34911
FBgn0028370	kek3	2L	kek3	protein_coding	34912
FBgn0028370	kek3	2L	kek3	protein_coding	34912
FBgn0028370	kek3	2L	kek3	protein_coding	34912
FBgn0266159	lncRNA:CR44865	2L	lncRNA:CR44865	ncRNA	19835314
FBgn0266159	lncRNA:CR44865	2L	lncRNA:CR44865	ncRNA	19835314
FBgn0266159	lncRNA:CR44865	2L	lncRNA:CR44865	ncRNA	19835314
FBgn0028950	CG15255	2L	CG15255	protein_coding	34913
FBgn0028950	CG15255	2L	CG15255	protein_coding	34913
FBgn0028950	CG15255	2L	CG15255	protein_coding	34913
FBgn0028944	Semp1	2L	Semp1	protein_coding	34914
FBgn0028944	Semp1	2L	Semp1	protein_coding	34914
FBgn0028944	Semp1	2L	Semp1	protein_coding	34914
FBgn0028949	CG15254	2L	CG15254	protein_coding	34915
FBgn0028949	CG15254	2L	CG15254	protein_coding	34915
FBgn0028949	CG15254	2L	CG15254	protein_coding	34915
FBgn0028948	CG15253	2L	CG15253	protein_coding	34916
FBgn0028948	CG15253	2L	CG15253	protein_coding	34916
FBgn0028948	CG15253	2L	CG15253	protein_coding	34916
FBgn0028947	CG11865	2L	CG11865	protein_coding	34917
FBgn0028947	CG11865	2L	CG11865	protein_coding	34917
FBgn0028947	CG11865	2L	CG11865	protein_coding	34917
FBgn0028946	Or35a	2L	Or35a	protein_coding	34918
FBgn0028946	Or35a	2L	Or35a	protein_coding	34918
FBgn0028946	Or35a	2L	Or35a	protein_coding	34918
FBgn0028945	CG7631	2L	CG7631	protein_coding	34919
FBgn0028945	CG7631	2L	CG7631	protein_coding	34919
FBgn0028945	CG7631	2L	CG7631	protein_coding	34919
FBgn0028518	CG18480	2L	CG18480	protein_coding	34920
FBgn0028518	CG18480	2L	CG18480	protein_coding	34920
FBgn0028518	CG18480	2L	CG18480	protein_coding	34920
FBgn0028863	CG4587	2L	CG4587	protein_coding	34921
FBgn0028863	CG4587	2L	CG4587	protein_coding	34921
FBgn0028863	CG4587	2L	CG4587	protein_coding	34921
FBgn0264990	CG44141	2L	CG44141	protein_coding	14462774
FBgn0264990	CG44141	2L	CG44141	protein_coding	14462774
FBgn0264990	CG44141	2L	CG44141	protein_coding	14462774
FBgn0264990	CG44141	2L	CG44141	protein_coding	14462776
FBgn0264990	CG44141	2L	CG44141	protein_coding	14462776
FBgn0264990	CG44141	2L	CG44141	protein_coding	14462776
FBgn0028864	CG18477	2L	CG18477	protein_coding	34922
FBgn0028864	CG18477	2L	CG18477	protein_coding	34922
FBgn0028864	CG18477	2L	CG18477	protein_coding	34922
FBgn0028864	CG18477	2L	CG18477	protein_coding	318937
FBgn0028864	CG18477	2L	CG18477	protein_coding	318937
FBgn0028864	CG18477	2L	CG18477	protein_coding	318937
FBgn0028517	CG18478	2L	CG18478	protein_coding	34923
FBgn0028517	CG18478	2L	CG18478	protein_coding	34923
FBgn0028517	CG18478	2L	CG18478	protein_coding	34923
FBgn0028517	CG18478	2L	CG18478	protein_coding	318965
FBgn0028517	CG18478	2L	CG18478	protein_coding	318965
FBgn0028517	CG18478	2L	CG18478	protein_coding	318965
FBgn0264544	CG43923	2L	CG43923	protein_coding	14462775
FBgn0264544	CG43923	2L	CG43923	protein_coding	14462775
FBgn0264544	CG43923	2L	CG43923	protein_coding	14462775
FBgn0264544	CG43923	2L	CG43923	protein_coding	14462777
FBgn0264544	CG43923	2L	CG43923	protein_coding	14462777
FBgn0264544	CG43923	2L	CG43923	protein_coding	14462777
FBgn0264989	CG44140	2L	CG44140	protein_coding	14462776
FBgn0264989	CG44140	2L	CG44140	protein_coding	14462776
FBgn0264989	CG44140	2L	CG44140	protein_coding	14462776
FBgn0264989	CG44140	2L	CG44140	protein_coding	14462774
FBgn0264989	CG44140	2L	CG44140	protein_coding	14462774
FBgn0264989	CG44140	2L	CG44140	protein_coding	14462774
FBgn0051780	CG31780	2L	CG31780	protein_coding	318937
FBgn0051780	CG31780	2L	CG31780	protein_coding	318937
FBgn0051780	CG31780	2L	CG31780	protein_coding	318937
FBgn0051780	CG31780	2L	CG31780	protein_coding	34922
FBgn0051780	CG31780	2L	CG31780	protein_coding	34922
